date,detected,average2,average3,average4
02/03/2020,0,0,0,0
03/03/2020,0,0,0,0
04/03/2020,1,0.5,0.33333333,1
05/03/2020,1,1,0.66666667,0.5
06/03/2020,5,3,2.33333333,1.75
07/03/2020,6,5.5,4,3.25
08/03/2020,7,6.5,6,4.75
09/03/2020,12,9.5,8.33333333,7.5
10/03/2020,18,15,12.3333333,10.75
11/03/2020,31,24.5,20.3333333,17
12/03/2020,51,41,33.3333333,28
13/03/2020,68,59.5,50,42
14/03/2020,104,86,74.3333333,63.5
15/03/2020,125,114.5,99,87
16/03/2020,177,151,135.333333,118.5
17/03/2020,238,207.5,180,161
18/03/2020,287,262.5,234,206.75
19/03/2020,355,321,293.333333,264.25
20/03/2020,425,390,355.666667,326.25
21/03/2020,536,480.5,438.666667,400.75
22/03/2020,634,585,531.666667,487.5
23/03/2020,749,691.5,639.666667,586
24/03/2020,901,825,761.333333,705
25/03/2020,1051,976,900.333333,833.75
26/03/2020,1221,1136,1057.66667,980.5
27/03/2020,1389,1305,1220.33333,1140.5
28/03/2020,1638,1513.5,1416,1324.75
29/03/2020,1862,1750,1629.66667,1527.5
30/03/2020,2055,1958.5,1851.66667,1736
31/03/2020,2311,2183,2076,1966.5
01/04/2020,2554,2432.5,2306.66667,2195.5
02/04/2020,2946,2750,2603.66667,2466.5
03/04/2020,3383,3164.5,2961,2798.5
04/04/2020,3627,3505,3318.66667,3127.5
05/04/2020,4102,3864.5,3704,3514.5
06/04/2020,4413,4257.5,4047.33333,3881.25
07/04/2020,4848,4630.5,4454.33333,4247.5
08/04/2020,5205,5026.5,4822,4642
09/04/2020,5575,5390,5209.33333,5010.25
10/04/2020,5955,5765,5578.33333,5395.75
11/04/2020,6356,6155.5,5962,5772.75
12/04/2020,6674,6515,6328.33333,6140
13/04/2020,6934,6804,6654.66667,6479.75
14/04/2020,7202,7068,6936.66667,6791.5
15/04/2020,7582,7392,7239.33333,7098
16/04/2020,7918,7750,7567.33333,7409
17/04/2020,8379,8148.5,7959.667,7770.25
18/04/2020,8742,8560.5,8346.33333,8155.25
19/04/2020,9217,8979.5,8779.33333,8564
20/04/2020,9523,9370,9160.66667,8965.25
21/04/2020,9786,9654.5,9508.66667,9317
22/04/2020,10099,9942.5,9802.66667,9656.25
23/04/2020,10441,10270,10108.6667,9962.25
24/04/2020,10822,10631.5,10454,10287
25/04/2020,11203,11012.5,10822,10641.25
26/04/2020,11547,11375,11190.6667,11003.25
27/04/2020,11832,11689.5,11527.3333,11351
28/04/2020,12148,11990,11842.3333,11682.5
29/04/2020,12570,12359,12183.3333,12024.25
