date_other_fmt,date,detected,Aktywne przypadki,recovered,deaths,average2,average3,average4,daily,daily_average7,daily_average14,corrections,comment,city source,avg_mobility_DW,average,detections
30.03.2020,30/03/2020,106,,,2,106,106,106,0,0,0,0,,,37.22,0.37,106
31.03.2020,31/03/2020,115,,,2,110.5,110.5,110.5,9,0,0,0,,,37.08,0.37,110.5
01.04.2020,01/04/2020,130,,,2,123.5,117.6666667,117.6666667,15,0,0,0,,,36.96,0.37,123.5
02.04.2020,02/04/2020,134,,,3,133,127,121.75,4,0,0,0,,,35.95,0.36,133
03.04.2020,03/04/2020,158,,,3,146,141.3333333,134.75,24,0,0,0,,,35.92,0.36,146
04.04.2020,04/04/2020,163,,,3,160.5,151.6666667,146.75,5,0,0,0,,,27.79,0.28,160.5
05.04.2020,05/04/2020,184,,,5,173.5,168.3333333,159.75,21,11.1428571428571,0,0,,,28.0,0.3,173.5
06.04.2020,06/04/2020,191,,,6,187.5,179.3333333,174,7,12.1428571428571,0,0,,,37.46,0.37,187.5
07.04.2020,07/04/2020,197,,,6,194,190.6666667,183.75,6,11.7142857142857,0,0,,,37.99,0.38,194
08.04.2020,08/04/2020,202,,,6,199.5,196.6666667,193.5,5,10.2857142857143,0,0,,,40.24,0.40,199.5
09.04.2020,09/04/2020,211,,,6,206.5,203.3333333,200.25,9,11,0,0,,,42.61,0.43,206.5
10.04.2020,10/04/2020,220,,,7,215.5,211,207.5,9,8.85714285714286,0,0,,,39.93,0.40,215.5
11.04.2020,11/04/2020,227,,,7,223.5,219.3333333,215,7,9.14285714285714,0,0,,,27.04,0.27,223.5
12.04.2020,12/04/2020,227,,,7,227,224.6666667,221.25,0,6.14285714285714,8.64285714285714,0,,,19.87,0.20,227
13.04.2020,13/04/2020,232,,,7,226.5,226.6666667,225,5,5.85714285714286,9,0,?,,26.81,0.27,226.5
14.04.2020,14/04/2020,232,,,7,227,227,227,0,5,8.35714285714286,0,,228,39.24,0.39,227
15.04.2020,15/04/2020,232,,,7,232.5,230.3333333,229.5,0,4.28571428571429,7.28571428571429,0,,237,40.88,0.41,232.5
16.04.2020,16/04/2020,236,,,8,239,235.3333333,233,4,3.57142857142857,7.28571428571429,0,,241,41.7,0.4,239
17.04.2020,17/04/2020,252,,,8,246.5,243.3333333,239.5,16,4.57142857142857,6.71428571428571,0,,,44.25,0.44,246.5
18.04.2020,18/04/2020,259,,,8,255.5,249,244.5,7,4.57142857142857,6.85714285714286,0,,253,36.51,0.37,255.5
19.04.2020,19/04/2020,276,,,8,267.5,262.3333333,255.75,17,7,6.57142857142857,0,,,37.39,0.37,267.5
20.04.2020,20/04/2020,283,,,8,279.5,272.6666667,267.5,7,7.28571428571429,6.57142857142857,0,,,48.28,0.48,279.5
21.04.2020,21/04/2020,285,,,8,284,281.3333333,275.75,2,7.57142857142857,6.28571428571429,0,,292,50.75,0.51,284
22.04.2020,22/04/2020,286,,,9,285.5,284.666666666667,282.5,1,7.71428571428571,6,,,,53.52,0.54,285.5
23.04.2020,23/04/2020,308,,,9,297,293,290.5,22,10.2857142857143,6.92857142857143,,,,58.51,0.59,297
24.04.2020,24/04/2020,312,,,9,310,302,297.75,4,8.57142857142857,6.57142857142857,,,,59.41,0.59,310
25.04.2020,25/04/2020,317,,,11,314.5,312.333333333333,305.75,5,8.28571428571429,6.42857142857143,,,,45.8,0.5,314.5
26.04.2020,26/04/2020,323,,,11,320,317.333333333333,315,6,6.71428571428571,6.85714285714286,,,,57.75,0.58,320
27.04.2020,27/04/2020,330,,,11,326.5,323.333333333333,320.5,7,6.71428571428571,7,,,,65.68,0.66,326.5
28.04.2020,28/04/2020,336,,,13,333,329.666666666667,326.5,6,7.28571428571429,7.42857142857143,,,,64.38,0.64,333
29.04.2020,29/04/2020,344,,,14,340,336.666666666667,333.25,8,8.28571428571429,8,,,,61.23,0.61,340
30.04.2020,30/04/2020,349,,,15,346.5,343,339.75,5,5.85714285714286,8.07142857142857,,,,68.29,0.68,346.5
01.05.2020,01/05/2020,352,,,15,350.5,348.333333333333,345.25,3,5.71428571428571,7.14285714285714,,,,58.41,0.58,350.5
02.05.2020,02/05/2020,360,,,15,356,353.666666666667,351.25,8,6.14285714285714,7.21428571428571,,,,58.27,0.58,356
03.05.2020,03/05/2020,363,,,16,361.5,358.333333333333,356,3,5.71428571428571,6.21428571428571,,,,61.79,0.62,361.5
04.05.2020,04/05/2020,369,,,17,366,364,361,6,5.57142857142857,6.14285714285714,,,,63.33,0.63,366
05.05.2020,05/05/2020,380,,,20,374.5,370.666666666667,368,11,6.28571428571429,6.78571428571429,,,,64.4,0.6,374.5
06.05.2020,06/05/2020,381,254,107,20,380.5,376.666666666667,373.25,1,5.28571428571429,6.78571428571429,,,,68.8,0.7,380.5
07.05.2020,07/05/2020,388,259,107,22,384.5,383,379.5,7,5.57142857142857,5.71428571428571,,,,76.12,0.76,384.5
08.05.2020,08/05/2020,402,256,118,28,395,390.333333333333,387.75,14,7.14285714285714,6.42857142857143,,,,86.59,0.87,395
09.05.2020,09/05/2020,407,261,118,28,404.5,399,394.5,5,6.71428571428571,6.42857142857143,,,,,,
10.05.2020,10/05/2020,408,262,118,28,407.5,405.666666666667,401.25,1,6.42857142857143,6.07142857142857,,,,,,
11.05.2020,11/05/2020,411,262,121,28,409.5,408.666666666667,407,3,6,5.78571428571429,,,,,,
12.05.2020,12/05/2020,429,276,121,32,420,416,413.75,18,7,6.64285714285714,,,,,,
13.05.2020,13/05/2020,437,243,161,33,433,425.666666666667,421.25,8,8,6.64285714285714,,,,,,
14.05.2020,14/05/2020,445,250,161,34,441,437,430.5,8,8.14285714285714,6.85714285714286,,,,,,
15.05.2020,15/05/2020,458,219,204,35,451.5,446.666666666667,442.25,13,8,7.57142857142857,,,,,,
16.05.2020,16/05/2020,459,220,204,35,458.5,454,449.75,1,7.42857142857143,7.07142857142857,,,,,,
17.05.2020,17/05/2020,459,220,204,35,459,458.666666666667,455.25,0,7.28571428571429,6.85714285714286,,,,,,
18.05.2020,18/05/2020,461,203,221,37,460,459.666666666667,459.25,2,7.14285714285714,6.57142857142857,,,,,,
19.05.2020,19/05/2020,473,215,221,37,467,464.333333333333,463,12,6.28571428571429,6.64285714285714,,,,,,
20.05.2020,20/05/2020,483,199,246,38,478,472.333333333333,469,10,6.57142857142857,7.28571428571429,,,,,,
21.05.2020,21/05/2020,483,199,246,38,483,479.666666666667,475,0,5.42857142857143,6.78571428571429,,,,,,
22.05.2020,22/05/2020,483,198,246,39,483,483,480.5,0,3.57142857142857,5.78571428571429,,,,,,
23.05.2020,23/05/2020,485,200,246,39,484,483.666666666667,483.5,2,3.71428571428571,5.57142857142857,,,,,,
24.05.2020,24/05/2020,488,203,246,39,486.5,485.333333333333,484.75,3,4.14285714285714,5.71428571428571,,,,,,
25.05.2020,25/05/2020,494,167,288,39,491,489,487.5,6,4.71428571428571,5.92857142857143,,,,,,
26.05.2020,26/05/2020,497,169,288,40,495.5,493,491,3,3.42857142857143,4.85714285714286,,,,,,
27.05.2020,27/05/2020,509,178,291,40,503,500,497,12,3.71428571428571,5.14285714285714,,,,,,
28.05.2020,28/05/2020,509,178,291,40,509,505,502.25,0,3.71428571428571,4.57142857142857,,,,,,
29.05.2020,29/05/2020,509,155,314,40,509,509,506,0,3.71428571428571,3.64285714285714,,,,,,
30.05.2020,30/05/2020,511,157,314,40,510,509.666666666667,509.5,2,3.71428571428571,3.71428571428571,,,,,,
31.05.2020,31/05/2020,514,160,314,40,512.5,511.333333333333,510.75,3,3.71428571428571,3.92857142857143,,,,,,
01.06.2020,01/06/2020,519,160,318,41,516.5,514.666666666667,513.25,5,3.57142857142857,4.14285714285714,,,,,,
02.06.2020,02/06/2020,522,163,318,41,520.5,518.333333333333,516.5,3,3.57142857142857,3.5,,,,,,
